8.98,0.0,1,1
21.06,0.13,1,3
21.49,0.13,1,3
28.02,0.15,1,4
10.8,0.0,1,2
19.69,0.0,1,3
8.59,0.0,1,1
19.69,0.0,1,3
8.59,0.0,1,1
12.23,1.17,1,2
25.24,0.58,1,4
10.63,0.07,1,2
25.24,0.58,1,4
10.63,0.07,1,2
14.11,0.0,1,2
26.25,0.0,1,4
15.24,0.0,1,2
10.8,0.0,1,2
26.25,0.0,1,4
15.24,0.0,1,2
14.44,0.58,1,2
25.44,0.58,1,4
27.78,0.15,1,4
15.44,0.05,1,2
12.23,1.17,1,2
25.44,0.58,1,4
27.78,0.15,1,4
15.44,0.05,1,2
14.11,0.58,1,2
24.86,0.0,1,4
14.11,0.0,1,2
24.86,0.0,1,4
15.13,0.0,1,2
25.24,0.57,1,4
28.49,0.15,1,4
14.67,0.12,1,2
14.86,0.07,1,2
15.44,0.05,1,2
15.44,0.05,1,2
14.44,0.58,1,2
25.24,0.57,1,4
28.49,0.15,1,4
14.67,0.12,1,2
14.86,0.07,1,2
15.44,0.05,1,2
15.44,0.05,1,2
14.44,0.58,1,2
24.48,0.0,1,4
24.48,0.0,1,4
4.3,0.58,1,1
25.84,0.57,1,4
32.23,0.3,1,5
15.64,0.07,1,2
25.84,0.57,1,4
32.23,0.3,1,5
15.64,0.07,1,2
5.05,0.0,1,1
24.3,0.28,1,4
33.79,0.0,1,5
14.86,0.0,1,2
14.11,0.58,1,2
33.79,0.0,1,5
14.86,0.0,1,2
5.05,0.0,1,1
26.25,0.0,1,4
34.11,0.15,1,5
23.07,0.05,1,4
15.13,0.0,1,2
24.3,0.28,1,4
34.11,0.15,1,5
23.07,0.05,1,4
5.84,0.0,1,1
27.11,0.3,1,4
22.26,0.0,1,3
14.44,0.58,1,2
26.25,0.0,1,4
22.26,0.0,1,3
5.44,0.0,1,1
26.25,0.0,1,4
35.83,0.0,1,5
27.11,0.3,1,4
35.83,0.0,1,5
6.25,0.57,1,1
26.67,0.0,1,4
21.8,0.0,1,3
4.3,0.58,1,1
26.25,0.0,1,4
26.67,0.0,1,4
27.78,0.0,1,4
26.04,0.0,1,4
28.49,0.0,1,4
29.23,0.0,1,4
21.8,0.0,1,3
6.67,0.0,1,1
27.78,0.0,1,4
30.53,0.0,1,5
29.48,0.58,1,4
29.48,0.3,1,4
30.53,0.0,1,5
6.46,0.58,1,1
26.04,0.0,1,4
29.48,0.0,1,4
34.44,0.3,1,5
35.83,0.15,1,5
34.32,0.15,1,5
33.71,0.15,1,5
33.11,0.15,1,5
32.93,0.15,1,5
29.35,0.15,1,4
5.05,0.0,1,1
29.48,0.0,1,4
34.44,0.3,1,5
35.83,0.15,1,5
34.32,0.15,1,5
33.71,0.15,1,5
33.11,0.15,1,5
32.93,0.15,1,5
29.35,0.15,1,4
5.64,0.0,1,1
28.49,0.0,1,4
30.0,0.28,1,5
29.35,0.0,1,4
30.21,0.0,1,5
30.21,0.0,1,5
30.21,0.0,1,5
31.12,0.0,1,5
31.12,0.0,1,5
31.58,0.0,1,5
31.58,0.0,1,5
32.05,0.0,1,5
32.54,0.0,1,5
21.35,0.12,1,3
30.0,0.28,1,5
29.74,0.28,1,4
29.35,0.0,1,4
30.21,0.0,1,5
30.21,0.0,1,5
