18.13,0,3.5,3,19
17.79,0,3.5,3,19
29.74,0,1,4,19
35.67,0.15,4.5,5,19
35.67,0.15,4.5,5,19
35.12,0.13,4.5,5,19
34.58,0.15,4.5,5,19
35.12,0.15,4.5,5,19
18.24,0,5.5,3,19
18.13,0,5.5,3,19
17.79,0,5.5,3,19
22.91,0.58,0,3,20
29.48,0.3,1.5,4,20
35.12,0,1,5,20
34.58,0,1,5,20
34.58,0,1,5,20
33.54,0,1,5,20
33.54,0,1,5,20
18.13,0.12,2.5,3,20
5.44,0,0.5,1,20
29.48,0.3,0.5,4,20
29.74,0.3,0.5,4,20
35.12,0,3,5,20
34.58,0,3,5,20
34.58,0,3,5,20
33.54,0,3,5,20
33.54,0,3,5,20
18.13,0.12,4.5,3,20
22.91,0,0,3,21
29.74,0.3,1.5,4,21
33.03,0.13,1,5,21
31.12,0.15,1,5,21
18.59,0,2.5,3,21
18.24,0,2.5,3,21
17.69,0,2.5,3,21
18.36,0,2.5,3,21
17.9,0,2.5,3,21
17.47,0,2.5,3,21
6.25,0.57,1.5,1,21
31.94,0,1,5,21
30,0,1,5,21
33.03,0.13,3,5,21
31.12,0.15,3,5,21
18.59,0,4.5,3,21
18.24,0,4.5,3,21
17.69,0,4.5,3,21
18.36,0,4.5,3,21
17.9,0,4.5,3,21
17.47,0,4.5,3,21
22.58,0,0,3,22
31.94,0,0,5,22
6.67,0,1,1,22
27.33,0.58,2,4,22
30,0,0,5,23
16.85,0,1,2,23
17.79,0,1,3,23
6.46,0.58,1.5,1,23
28.98,0,1.5,4,23
31.65,0,1.5,5,23
16.85,0,3,2,23
17.79,0,3,3,23
27.33,0.58,1,4,24
31.12,0,0.5,5,24
17.16,0.05,1,3,24
5.64,0,1.5,1,24
31.94,0.28,1,5,24
31.12,0,1.5,5,24
24.05,0,1.5,4,24
25.12,0,1.5,4,24
25.12,0,1.5,4,24
25.12,0,1.5,4,24
17.16,0.05,3,3,24
28.98,0,0.5,4,25
24.05,0,0.5,4,25
17.37,0,1,3,25
15.71,0,1,2,25
15.89,0,1,2,25
18.59,0,1,3,25
31.36,0,0.5,5,25
17.37,0,3,3,25
15.71,0,3,2,25
15.89,0,3,2,25
18.59,0,3,3,25
31.65,0,0.5,5,26
15.62,0.3,0.5,2,26
25.12,0,0.5,4,26
15.62,0.3,2.5,2,26
31.94,0.28,0,5,27
17.9,0,1.5,3,27
25.12,0,0.5,4,27
18.24,0,2.5,3,27
18.24,0,2.5,3,27
18.36,0,2.5,3,27
12.23,1.15,0.5,2,27
17.9,0,0.5,3,27
19.19,0,0.5,3,27
27.32,0.13,2,4,27
18.24,0,4.5,3,27
18.24,0,4.5,3,27
18.36,0,4.5,3,27
31.36,0,1.5,5,28
19.19,0,1.5,3,28
25.12,0,0.5,4,28
15.19,0.07,2.5,2,28
23.94,0,1,4,28
19.44,0.28,2,3,28
15.19,0.07,4.5,2,28
19.44,0.28,1,3,29
27.32,0.13,1,4,29
22.74,0,2.5,3,29
23.24,0,2.5,4,29
23.41,0,2.5,4,29
19.82,0,0.5,3,29
22.74,0,4.5,3,29
23.24,0,4.5,4,29
23.41,0,4.5,4,29
19.82,0,1.5,3,30
31.65,0.13,1,5,30
23.94,0.12,3.5,4,30
23.94,0.05,3.5,4,30
22.42,0,1,3,30
20.22,0.28,0.5,3,30
23.94,0.12,5.5,4,30
23.94,0.05,5.5,4,30
20.22,0.28,1.5,3,31
20.22,0,1,3,31
31.36,0.13,1,5,31
24.48,0,3.5,4,31
24.86,0,3.5,4,31
24.86,0,3.5,4,31
24.86,0,3.5,4,31
20.22,0,3,3,31
31.65,0.13,2,5,31
24.48,0,5.5,4,31
24.86,0,5.5,4,31
24.86,0,5.5,4,31
24.86,0,5.5,4,31
20.22,0.28,2,3,32
20.22,0.28,4,3,32
20.36,0,2,3,33
25.44,0,3.5,4,33
25.24,0,3.5,4,33
23.07,0,3.5,4,33
22.91,0.58,1,3,33
20.36,0,4,3,33
31.36,0.13,2,5,33
25.44,0,5.5,4,33
25.24,0,5.5,4,33
23.07,0,5.5,4,33
20.36,0.3,2,3,34
20.66,0,0.5,3,34
22.91,0.07,3.5,3,34
22.91,0,1,3,34
20.36,0.3,4,3,34
20.66,0,2.5,3,34
22.91,0.07,5.5,3,34
20.49,0,1,3,35
28.02,0,3,4,35
20.49,0,3,3,35
28.02,0,5,4,35
20.22,0.58,2,3,36
16.56,0.05,3,2,36
20.22,0.58,4,3,36
16.56,0.05,5,2,36
20.77,0,1.5,3,37
20.55,0.15,0.5,3,37
18.47,0,3,3,37
20.09,0,3,3,37
20.77,0,3.5,3,37
20.55,0.15,2.5,3,37
18.47,0,5,3,37
20.09,0,5,3,37
20.63,0.28,1.5,3,38
22.58,0,1,3,38
20.63,0.28,3.5,3,38
20.63,0,0.5,3,39
20.22,0,3,3,39
21.06,0,3,3,39
21.8,0,3,3,39
21.95,0,3,3,39
22.1,0,3,3,39
22.42,0,3,3,39
20.63,0,1.5,3,39
20.22,0,5,3,39
21.06,0,5,3,39
21.8,0,5,3,39
21.95,0,5,3,39
22.1,0,5,3,39
22.42,0,5,3,39
20.36,0.3,1,3,40
21.06,0.3,1,3,40
16.81,0,0.5,2,40
22.42,0.07,2.5,3,40
22.58,0.07,2.5,3,40
22.58,0.07,2.5,3,40
20.36,0.3,3,3,40
21.06,0.3,3,3,40
16.81,0,2.5,2,40
22.42,0.07,4.5,3,40
22.58,0.07,4.5,3,40
22.58,0.07,4.5,3,40
20.22,0,0.5,3,41
22.58,0,3,3,41
20.22,0,2.5,3,41
22.58,0,5,3,41
21.95,1.73,1.5,3,42
20.77,0.58,1,3,42
20.91,0.3,1,3,42
22.58,0.07,3,3,42
22.74,0.05,3,3,42
21.95,1.73,3.5,3,42
20.77,0.58,3,3,42
20.91,0.3,3,3,42
22.58,0.07,5,3,42
22.74,0.05,5,3,42
20.91,0,1.5,3,43
28.25,5.85,0.5,4,43
22.74,0,2.5,3,43
22.74,0,2.5,3,43
20.91,0,3.5,3,43
28.25,5.85,2.5,4,43
22.74,0,4.5,3,43
22.74,0,4.5,3,43
21.06,0.58,1.5,3,44
22.74,0.07,2.5,3,44
22.74,0.05,2.5,3,44
22.74,0.05,2.5,3,44
22.91,0.07,2.5,3,44
21.06,0.58,3.5,3,44
22.74,0.07,4.5,3,44
22.74,0.05,4.5,3,44
22.74,0.05,4.5,3,44
22.91,0.07,4.5,3,44
21.35,0,2.5,3,45
21.06,0,1,3,45
22.91,0,2.5,3,45
22.74,0,2.5,3,45
22.91,0,2.5,3,45
21.35,0,4.5,3,45
21.06,0,3,3,45
22.91,0,4.5,3,45
22.74,0,4.5,3,45
22.91,0,4.5,3,45
21.64,0.57,2.5,3,46
21.06,0.28,1.5,3,46
21.06,0.28,1.5,3,46
30.8,0,0.5,5,46
22.74,0.05,2.5,3,46
22.74,0.07,2.5,3,46
22.74,0.07,2.5,3,46
21.64,0.57,4.5,3,46
21.06,0.28,3.5,3,46
21.06,0.28,3.5,3,46
30.8,0,1.5,5,46
22.74,0.05,4.5,3,46
22.74,0.07,4.5,3,46
22.74,0.07,4.5,3,46
15.8,0,0.5,2,47
30,0,0.5,5,47
22.74,0,2.5,3,47
22.91,0,2.5,3,47
22.58,0,2.5,3,47
22.74,0,2.5,3,47
15.8,0,2.5,2,47
22.74,0,4.5,3,47
22.91,0,4.5,3,47
22.58,0,4.5,3,47
22.74,0,4.5,3,47
20.91,0.3,1,3,48
15.99,0.28,1,2,48
21.35,0.28,1,3,48
22.74,0.07,2.5,3,48
22.58,0.05,2.5,3,48
22.91,0.07,2.5,3,48
22.91,0.07,2.5,3,48
20.91,0.3,3,3,48
15.99,0.28,3,2,48
21.35,0.28,3,3,48
22.74,0.07,4.5,3,48
22.58,0.05,4.5,3,48
22.91,0.07,4.5,3,48
22.91,0.07,4.5,3,48
22.42,0,2.5,3,49
23.76,0,1.5,4,49
26.46,0,1.5,4,49
27.33,0,1.5,4,49
19.69,0,1.5,3,49
20.91,0,1.5,3,49
19.57,0,1.5,3,49
22.74,0,2.5,3,49
22.26,0,2.5,3,49
22.58,0,2.5,3,49
22.42,0,4.5,3,49
23.76,0,3.5,4,49
26.46,0,3.5,4,49
27.33,0,3.5,4,49
19.69,0,3.5,3,49
20.91,0,3.5,3,49
19.57,0,3.5,3,49
22.74,0,4.5,3,49
22.26,0,4.5,3,49
22.58,0,4.5,3,49
20.36,0.28,2,3,50
22.58,0.07,2.5,3,50
22.91,0.05,2.5,3,50
22.74,0.05,2.5,3,50
20.36,0.28,4,3,50
30,0,1.5,5,50
22.58,0.07,4.5,3,50
22.91,0.05,4.5,3,50
22.74,0.05,4.5,3,50
22.74,0.58,2.5,3,51
21.95,0,1,3,51
32.84,0,1,5,51
28.11,0,1,4,51
28.11,0,1,4,51
22.74,0,2.5,3,51
22.74,0,2.5,3,51
22.42,0,2.5,3,51
22.74,0.58,4.5,3,51
21.95,0,3,3,51
32.84,0,3,5,51
28.11,0,3,4,51
28.11,0,3,4,51
22.74,0,4.5,3,51
22.74,0,4.5,3,51
22.42,0,4.5,3,51
27.71,0.3,2,4,52
26.56,0.28,2,4,52
23.79,0.3,2,4,52
21.95,0.12,2.5,3,52
21.06,0.07,2.5,3,52
21.35,0.07,2.5,3,52
21.2,0.07,2.5,3,52
27.71,0.3,4,4,52
26.56,0.28,4,4,52
23.79,0.3,4,4,52
21.95,0.12,4.5,3,52
21.06,0.07,4.5,3,52
21.35,0.07,4.5,3,52
21.2,0.07,4.5,3,52
23.07,0,2.5,4,53
20.8,0,2.5,3,53
30.66,0,2.5,5,53
27.78,1.17,1,4,53
21.49,0,2.5,3,53
20.22,0,2.5,3,53
20.22,0,2.5,3,53
23.07,0,4.5,4,53
20.8,0,4.5,3,53
30.66,0,4.5,5,53
27.78,1.17,3,4,53
21.49,0,4.5,3,53
20.22,0,4.5,3,53
20.22,0,4.5,3,53
23.59,0.58,1.5,4,54
30.66,0.87,2.5,5,54
21.06,0.12,2.5,3,54
20.91,0.07,2.5,3,54
21.64,0.05,2.5,3,54
21.8,0.05,2.5,3,54
23.59,0.58,3.5,4,54
30.66,0.87,4.5,5,54
21.06,0.12,4.5,3,54
20.91,0.07,4.5,3,54
21.64,0.05,4.5,3,54
21.8,0.05,4.5,3,54
30.21,0,1,5,55
21.8,0,2.5,3,55
21.8,0,2.5,3,55
21.8,0,2.5,3,55
21.8,0,2.5,3,55
30.21,0,2,5,55
21.8,0,4.5,3,55
21.8,0,4.5,3,55
21.8,0,4.5,3,55
21.8,0,4.5,3,55
24.12,1.15,1.5,4,56
29.35,0.3,1.5,4,56
20.63,0,1,3,56
21.95,0.07,2.5,3,56
21.95,0.07,2.5,3,56
21.8,0.07,2.5,3,56
21.8,0.05,2.5,3,56
24.12,1.15,3.5,4,56
29.35,0.3,3.5,4,56
20.63,0,3,3,56
21.95,0.07,4.5,3,56
21.95,0.07,4.5,3,56
21.8,0.07,4.5,3,56
21.8,0.05,4.5,3,56
29.35,0,0.5,4,57
25.84,0.15,1.5,4,57
21.95,0,2.5,3,57
21.95,0,2.5,3,57
22.1,0,2.5,3,57
